LANGUAGE,Original,English,French,Spanish,Italian,German,Czech,Russian,Polish,Hungarian,Japanese,Chinesesimp,Portuguese,Chinese,Chinesetrad,Korean
STR_DZBBC_EVENT_NAME,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ,DeutschZ Blackbox ConvoyZ
STR_DZBBC_BLACKBOX_NAME,ConvoyZ Blackbox,ConvoyZ Blackbox,Boite noire ConvoyZ,Caja negra ConvoyZ,Scatola nera ConvoyZ,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox,ConvoyZ Blackbox
STR_DZBBC_BLACKBOX_DESC,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Boite noire instable d un convoi militaire attaque. Le serveur controle le piratage et les recompenses.,Caja negra inestable de un convoy militar atacado. El servidor controla el hackeo y las recompensas.,Scatola nera instabile di un convoglio militare attaccato. Il server controlla hack e ricompense.,Instabile Blackbox eines angegriffenen Militaerkonvois. Serverlogik steuert Hack und Belohnungen.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.,Unstable blackbox from an attacked military convoy. Server logic controls hack and rewards.
STR_DZBBC_DATACORE_NAME,Blackbox Data Core,Blackbox Data Core,Noyau de donnees Blackbox,Nucleo de datos Blackbox,Nucleo dati Blackbox,Blackbox Datenkern,Blackbox Data Core,Blackbox Data Core,Blackbox Data Core,Blackbox Data Core,Blackbox Data Core,Blackbox Data Core,Blackbox Data Core,Blackbox Data Core,Blackbox Data Core,Blackbox Data Core
STR_DZBBC_DATACORE_DESC,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Noyau de donnees extrait. Le signal reste stable pendant un temps limite.,Nucleo de datos extraido. La senal solo permanece estable durante un tiempo limitado.,Nucleo dati estratto. Il segnale resta stabile per un tempo limitato.,Extrahierter Datenkern. Das Signal bleibt nur zeitlich begrenzt stabil.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.,Extracted data core. The signal remains stable for a limited time.
STR_DZBBC_TERMINAL_NAME,Active Military Terminal,Active Military Terminal,Terminal militaire actif,Terminal militar activo,Terminale militare attivo,Aktives Militaerterminal,Active Military Terminal,Active Military Terminal,Active Military Terminal,Active Military Terminal,Active Military Terminal,Active Military Terminal,Active Military Terminal,Active Military Terminal,Active Military Terminal,Active Military Terminal
STR_DZBBC_TERMINAL_DESC,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal pour dechiffrer un noyau de donnees ConvoyZ.,Terminal para descifrar un nucleo de datos ConvoyZ.,Terminale per decifrare un nucleo dati ConvoyZ.,Terminal zum Entschluesseln eines ConvoyZ Datenkerns.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.,Terminal for decrypting a ConvoyZ data core.
STR_DZBBC_CONTAINER_NAME,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Conteneur de ravitaillement ConvoyZ securise,Contenedor de suministros ConvoyZ asegurado,Contenitore rifornimenti ConvoyZ protetto,Gesicherter ConvoyZ Vorratscontainer,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container,Secured ConvoyZ Supply Container
STR_DZBBC_CONTAINER_DESC,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Conteneur d evenement deverrouille par le serveur avec un objet special garanti.,Contenedor de evento desbloqueado por el servidor con un objeto especial garantizado.,Contenitore evento sbloccato dal server con oggetto speciale garantito.,Serverseitig freigegebener Eventcontainer mit garantiertem Spezialitem.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.,Server-unlocked event container with a guaranteed special item.
STR_DZBBC_FLARE_NAME,Gas Zone Flare,Gas Zone Flare,Fusee de zone de gaz,Bengala de zona de gas,Bengala zona gas,GasZonen Leuchtfackel,Gas Zone Flare,Gas Zone Flare,Gas Zone Flare,Gas Zone Flare,Gas Zone Flare,Gas Zone Flare,Gas Zone Flare,Gas Zone Flare,Gas Zone Flare,Gas Zone Flare
